,name,06/30/2020,06/30/2019,06/30/2018,06/30/2017,06/30/2016,06/30/2015,06/30/2014,06/30/2013,06/30/2012,06/30/2011,06/30/2010,06/30/2009,06/30/2008,06/30/2007,06/30/2006,06/30/2005,06/30/2004,06/30/2003,06/30/2002
33,InterestIncome,"86,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","765,000","699,998","854,273.10","1,328,079.90","3,704,878.80","5,107,815","3,117,262.28","917,168.24","12,738.85","1,655.00","35,258.77"
34,InterestExpense,"3,000",,"748,000",,0,"2,380,000","1,737,000",0,"1,000","1,605.50","1,496.10","3,291.40","9,954","16,056","3,695.63","2,276,798.51","3,974,522.29","143,984.91",
35,NetInterestIncome,"83,000","720,000","1,002,000","745,000","432,000","188,000","160,000","516,000","764,000","698,392.50","852,777","1,324,788.50","3,694,924.80","5,091,759","3,113,566.65","-1,359,630.27","-3,961,783.44","-142,329.91","35,258.77"
36,EBIT,"-2,622,000","-5,018,000","-6,294,000","-11,720,000","-20,901,000","-11,868,000","-12,025,000","-11,081,000","-13,072,000","-76,815,147.50","19,482,214.20","-10,172,071.70","-10,935,464.40","-20,130,210","-3,671,606.49","-1,542,347.38","-1,060,964.51","-779,504.49","-507,419.67"
37,EBITDA,,,,,,,,,,,,,,,,,,,
38,ReconciledCostOfRevenue,,,,,,,0,0,0,,,,,,,,,,
39,ReconciledDepreciation,"50,000","38,000","88,000","249,000","655,000","397,000","421,000","496,000","500,000","462,384","496,705.20","493,710","553,442.40","353,232","236,520.20","42,992.26",,,
40,NetIncomeFromContinuingOperationNetMinorityInterest,"-2,625,000","-66,567,000","-7,042,000","-53,692,000","-125,632,000","-89,859,000","-13,500,000","-11,081,000","-13,073,000","-76,816,753","19,480,718.10","-10,175,363.10","-10,945,418.40","-20,146,266","-3,675,302.12","-3,819,145.89","-5,035,486.81","-923,489.40","-472,160.90"
41,TotalUnusualItemsExcludingGoodwill,"368,000","-62,773,000","-2,000","-45,589,000","-122,305,000","-75,959,000",,0,"-3,185,000","-41,704,468",0,"-50,478,556.10",0,"-72,252",0,0,0,0,
42,TotalUnusualItems,"368,000","-62,773,000","-2,000","-45,589,000","-122,305,000","-75,959,000",,0,"-3,185,000","-41,704,468",0,"-50,478,556.10",0,"-72,252",0,0,0,0,
43,NormalizedEBITDA,"-2,940,000","57,793,000","-6,204,000","34,118,000","102,059,000","64,488,000","-11,604,000","-10,585,000","-9,387,000","-34,648,295.50","19,978,919.40","40,800,194.40","-10,382,022","-19,704,726","-3,435,086.29","-1,499,355.12","-1,060,964.51","-779,504.49","-507,419.67"
44,TaxRateForCalcs,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0
45,TaxEffectOfUnusualItems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.015706148,-0.394882959,-0.023576204,-0.177227056,-0.344819825,-0.173276615,-0.022735042,-0.018922893,-0.022232766,-0.149957845,0.044772168,-0.022925813,-0.027657605,-0.061266716,-0.023391194,-0.063598127,-0.349545225,-0.152667579,-0.094074527
2,ROA2,-0.015638684,-0.284921832,-0.023409075,-0.160923847,-0.284580396,-0.161561116,-0.022893307,-0.018883889,-0.023763439,-0.162169557,0.044327427,-0.024239005,-0.030211925,-0.082914598,-0.033846526,-0.10258654,-0.492351511,-0.166875115,#REF!
3,ROE,-0.015849726,-0.395942257,-0.023660647,-0.178115411,-0.347073693,-0.177624869,-0.022977824,-0.019439703,-0.022561789,-0.162405086,0.047333772,-0.023890759,-0.02903127,-0.065122616,-0.0236704,-0.065240674,-17.18633538,-0.211283605,-0.096280088
4,ROC,-0.015846282,-0.395942257,-0.023660647,-0.178115411,-0.347073693,-0.177624869,-0.022977824,-0.019439703,-0.022561789,-0.162405086,0.047333772,-0.023890759,-0.02903127,-0.065122616,-0.0236704,-0.065240674,-0.541911477,-0.174211677,-0.096280088
5,OperatingMargin,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
6,NetMargin,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
7,CurrentRatio,9.89484127,41.13303769,92.81425891,86.0893448,63.3216399,16.70177235,6.750239082,3.349820144,18.81527697,4.350781058,5.521316475,8.635637565,6.114926643,5.916297289,43.56729811,25.94549762,0.060477112,0.25739645,1.613333329
8,QuickRatio,8.19047619,37.70731707,92.11444653,84.53209795,61.77895182,16.27877117,5.091966847,2.641765159,17.4580758,4.142430686,5.227206303,8.146516111,5.812885392,5.515616947,42.75972084,24.93483412,0.029787234,0.022682446,1.613333329
9,D/Eratio,0.000217368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71428567,0.212798182,0
10,EPS,-0.007829442,-0.198545702,-0.021003783,-0.161408204,-0.383872185,-0.2770445,-0.041638221,-0.0375944,-0.044370854,-0.355741299,0.100744518,-0.052729378,-0.125992867,-0.270347101,-0.124136256,-0.180942147,-0.238569518,-0.043752755,-0.022369873
