,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985,ttm
49,				InterestPayable,"62,935,000","51,316,000","59,718,000","65,642,000","57,233,000","62,776,000","63,532,000","64,728,000","90,878,000","99,869,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
50,		CurrentProvisions,"13,976,000","14,736,000","24,926,000","18,830,000","24,896,000","27,097,000","23,681,000","30,784,000","26,782,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,		PensionandOtherPostRetirementBenefitPlansCurrent,"90,250,000","127,217,000","108,674,000","144,957,000","135,030,000","157,663,000","215,166,000","202,262,000","180,740,000","196,377,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
52,		CurrentDebtAndCapitalLeaseObligation,"8,305,000","13,479,000","561,000","181,000","297,000","6,508,000","6,190,000","10,185,000","364,000","275,326,000","1,379,018,000","163,000","225,030,000","700,000,000",,"767,912,000","804,550,000","299,385,000","492,985,000","2,510,000","3,554,000","3,600,000","85,900,000","43,000,000","18,000,000","41,800,000","11,100,000","11,800,000","23,200,000","8,700,000","5,900,000","4,700,000","6,600,000","400,000","300,000","200,000",
53,			CurrentDebt,,,"561,000","181,000","297,000","6,508,000","6,190,000","10,185,000","364,000","275,326,000","1,379,018,000","163,000","225,030,000","700,000,000",,"767,912,000","804,550,000","299,385,000","492,985,000","2,510,000","3,554,000","3,600,000","85,900,000","43,000,000","18,000,000","41,800,000","11,100,000","11,800,000","23,200,000","8,700,000","5,900,000","4,700,000","6,600,000","400,000","300,000","200,000",
54,			CurrentCapitalLeaseObligation,"8,305,000","13,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,		CurrentDeferredLiabilities,"61,473,000","89,051,000","149,266,000","218,370,000","255,626,000","340,472,000","302,022,000","205,993,000","158,886,000","172,847,000",,,,,,"19,542,000",,,,,,,,,,,,,,,,,,,,,
56,			CurrentDeferredTaxesLiabilities,,,,,,0,"3,677,000","3,075,000","10,721,000","269,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
57,			CurrentDeferredRevenue,"61,473,000","89,051,000","149,266,000","218,370,000","255,626,000","340,472,000","298,345,000","202,918,000","148,165,000","172,578,000",,,,,,"19,542,000",,,,,,,,,,,,,,,,,,,,,
58,		OtherCurrentLiabilities,"515,469,000","656,548,000","2,445,000","6,074,000","5,462,000","5,197,000","19,602,000","64,404,000","68,961,000","154,287,000","775,362,000","608,459,000","111,528,000","97,093,000","100,223,000","23,619,000","11,932,000","9,403,000","15,900,000","27,777,000","136,463,000","181,600,000","100,000,000","105,900,000","73,400,000","54,900,000","38,300,000","31,200,000","26,200,000","41,600,000","37,500,000","11,700,000","11,000,000","10,800,000","11,600,000","21,100,000",
59,	TotalNonCurrentLiabilitiesNetMinorityInterest,"3,731,151,000","4,053,945,000","4,271,541,000","4,543,735,000","4,110,286,000","4,237,473,000","5,393,678,000","4,867,210,000","5,566,523,000","5,508,361,000","4,149,326,000","4,854,089,000","4,647,004,000","4,095,129,000","4,751,290,000","2,119,811,000","1,733,900,000","2,514,044,000","2,153,963,000","1,963,919,000","1,051,221,000","662,400,000","338,300,000","271,400,000","257,100,000","64,100,000","66,100,000","78,800,000","58,900,000","54,200,000","54,000,000","7,000,000","3,100,000","65,700,000","50,300,000","164,200,000",
