,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
51,TotalUnusualItemsExcludingGoodwill,"-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","21,056,000","12,871,000",,0,,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
52,TotalUnusualItems,"-3,922,084,000","-584,678,000","-803,926,000","-121,639,000","-1,440,935,000","-418,298,000","-745,428,000","21,056,000","12,871,000",,0,,"26,485,000","14,665,000","20,728,000","40,592,000","9,034,000","9,609,000","10,946,000","13,457,000","12,261,000","-10,700,000","6,300,000","208,800,000","44,300,000","5,600,000","21,400,000","3,400,000","6,500,000","6,500,000","2,400,000","3,400,000","200,000","-800,000","-50,000,000","500,000"
53,NormalizedEBITDA,"222,004,000","395,249,000","350,891,000","511,806,000","1,307,888,000","2,008,890,000","1,794,917,000","1,982,678,000","1,534,738,000","1,150,617,000","1,465,795,000","2,425,900,000","2,238,576,000","1,769,184,000","1,160,027,000","574,205,000","387,261,000","394,119,000","418,524,000","512,332,000","367,150,000","257,900,000","295,100,000","52,500,000","84,000,000","42,300,000","36,100,000","40,500,000","6,700,000","9,300,000","4,600,000","300,000","-1,000,000","-300,000","48,900,000","7,600,000"
54,TaxRateForCalcs,0.061,0.042,0.086,0.4,0.113,0.214,0.3,0.165,0.209,0.166,0.156,0.167,0.184,0.19,0.206,0.185,0.097,0.11,0.139,0.246,0.268,0.241,0.298,0.305,0.223,0.4,0.21,0.116,0.4,0.4,0.4,0.4,0.368,0.399,0.4,0.4
55,TaxEffectOfUnusualItems,"-239,247,124","-24,556,476","-69,137,636","-48,655,600","-162,825,655","-89,515,772","-223,628,400","3,474,240","2,690,039",0,0,0,"4,867,295.15","2,786,346.26","4,261,775.63","7,513,865.81","878,238.10","1,056,977.67","1,521,486.13","3,309,805.58","3,291,513.44","-2,574,820.72","1,879,904.72","63,641,095.89","9,858,921.57","2,240,000","4,484,558.82","393,518.52","2,600,000","2,600,000","960,000","1,360,000","73,684.21","-319,047.62","-20,000,000","200,000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ROA1,-0.93304826,-0.084566379,-0.095526968,-0.047848756,-0.081256162,0.039637033,0.000639054,0.048261134,0.035757946,0.027483781,0.068924951,0.199912206,0.219786293,0.205243323,0.159589997,0.068262988,0.044161787,0.052174028,0.068337425,0.09558228,0.063784251,0.03474078,0.074359681,0.170806216,0.057481351,0.002158079,0.029057981,0.041825095,-0.037084811,-0.040318302,-0.032424466,-0.059456399,-0.047917855,-0.097396336,-0.380622837,-0.081845238
2,ROA2,-0.634096443,-0.07984195,-0.088242118,-0.046459744,-0.076407705,0.039039214,0.000575568,0.050782056,0.037173629,0.030012202,0.078848042,0.21660977,0.240553932,0.230552518,0.163869901,0.077523601,0.0449661,0.0532076,0.072038049,0.098357154,0.065855038,0.03665228,0.087938335,0.17903383,0.074544765,0.002160265,0.034688609,0.051617683,-0.033474021,-0.046884639,-0.039285714,-0.059676044,-0.060215054,-0.092111263,-0.277427491,#REF!
3,ROE,12.776533,-0.191472,-0.190146,-0.086799,-0.143732,0.068847,0.001165,0.086486,0.061537,0.045802,0.106129,0.24728,0.295294,0.28029,0.227172,0.108926,0.061487,0.076614,0.105623,0.14826,0.105249,0.060569,0.123617,0.223827,0.0849,0.003055,0.040704,0.063487,-0.05422,-0.065915,-0.051856,-0.088458,-0.069022,-0.115693,-0.620592,-0.143728
4,ROC,-1.078902,-0.0934,-0.103733,-0.05167,-0.086012,0.042901,0.000698,0.053586,0.039805,0.030477,0.076925,0.22265,0.251379,0.237066,0.186903,0.076822,0.050592,0.060258,0.078949,0.11052,0.072847,0.038664,0.084371,0.198319,0.067243,0.002403,0.032531,0.045753,-0.041471,-0.044931,-0.03611,-0.074415,-0.057891,-0.107791,-0.446701,-0.115223
5,OperatingMargin,-0.167107,-0.039051,-0.132931,-0.033659,0.302686,0.399224,0.288126,0.259902,0.217346,0.181945,0.326335,0.552283,0.553722,0.497732,0.441583,0.269905,0.175545,0.223964,0.278805,0.383394,0.304355,0.224111,0.291423,0.257151,0.147968,0.034756,0.051136,0.120062,-0.032212,-0.023112,-0.054332,-0.101254,-0.293182,-0.541667,-0.838617,-0.371508
6,NetMargin,-4.125868,-0.53667,-0.817352,-0.41758,-0.403803,0.152435,0.002627,0.184847,0.147263,0.137582,0.275519,0.461066,0.452922,0.402633,0.348468,0.214665,0.137012,0.168543,0.212401,0.262311,0.187575,0.119705,0.205532,0.360628,0.152829,0.004878,0.06108,0.107234,-0.082319,-0.085682,-0.064611,-0.101254,-0.190909,-0.350694,-1.268012,-0.230447
7,CurrentRatio,2.758329,0.816568,1.803375,1.751995,1.883195,1.436471,1.388662,1.322288,1.432143,1.280993,1.153179,3.417906,1.826736,1.745617,1.337165,2.014595,1.985763,1.729177,1.6591,2.380397,1.845571,1.245607,1.253791,1.733159,2.564356,2.175926,2.918591,2.758865,1.442831,1.648459,2.078481,1.765432,1.467066,1.942308,2.583333,2.009259
