,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
53,TaxEffectOfUnusualItems,"93,600","-282,750","-2,932,250","-598,500","-9,734",0,0,0,"-185,169.50",0
,,,,,,,,,,,
1,ROA1,-0.409165,-0.105994,-0.028662,-0.116109,-0.265084,-0.203082,-0.169321,-0.074051,-0.21317,-0.214953
2,ROA2,-0.267113423,-0.106313409,-0.028443113,-0.097764391,-0.297041853,-0.296888515,-0.240758543,-0.10091435,-0.230366125,#REF!
3,ROE,-0.968846,-0.257851,-0.056191,-0.214891,-0.541499,-0.437238,-0.317918,-0.273316,-1.540611,-0.519995
4,ROC,-0.880244,-0.230198,-0.055375,-0.214891,-0.541499,-0.428256,-0.317918,-0.273316,-1.540611,-0.519995
5,OperatingMargin,-2.977831,-0.381784,-0.155791,-0.403004,-0.238838,-0.190319,-0.133813,-0.049769,-0.101939,-0.131115
6,NetMargin,-2.904897,-0.306534,-0.083894,-0.352643,-0.230104,-0.190887,-0.126695,-0.040844,-0.096318,-0.120111
7,CurrentRatio,1.309507,1.019875,1.420683,1.742139,1.657298,1.461327,2.103979,1.366051,1.111705,1.615878
8,QuickRatio,1.309507,1.019875,1.420683,1.742139,1.657298,1.461327,2.103979,1.366051,1.111705,1.615878
9,D/Eratio,0.100656,0.120127,0.014744,0,0,0.020972,0,0,0,0
10,EPS,-3.359491,-1.795896,-0.507919,-1.98764,-6.396269,-5.08546,-2.376712,-0.5467,-0.735893,-0.631265
