,name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
78,"	MinorityInterest","7,000,000","6,000,000","5,000,000","5,000,000","4,000,000","3,000,000","2,000,000","2,000,000","1,000,000",,,,,,,,,,,
79,TotalCapitalization,"5,436,000,000","5,040,000,000","4,661,000,000","6,564,000,000","5,997,000,000","5,905,000,000","6,047,000,000","6,231,000,000","5,948,000,000","6,005,000,000","6,427,000,000","4,528,000,000","4,157,000,000","6,711,000,000","6,166,000,000","6,720,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
80,CommonStockEquity,"-975,000,000","-530,000,000","-574,000,000","878,000,000","714,000,000","950,000,000","1,255,000,000","1,623,000,000","1,930,000,000","2,232,000,000","2,917,000,000","2,688,000,000","2,342,000,000","3,516,000,000","3,559,000,000","5,033,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
81,CapitalLeaseObligations,"164,000,000","185,000,000","3,000,000",,,,,,,,,,,,,,,,,
82,NetTangibleAssets,"-2,070,000,000","-1,643,000,000","-1,605,000,000","-1,542,000,000","-2,016,000,000","-1,736,000,000","-1,410,000,000","-1,119,000,000","-825,000,000","-378,000,000","705,000,000","251,000,000","-88,000,000","-243,000,000","-178,000,000","1,396,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
83,WorkingCapital,"4,957,000,000","4,181,000,000","3,662,000,000","425,000,000","-220,000,000","-88,000,000","8,000,000","150,000,000","-65,000,000","167,000,000","177,000,000","-145,000,000","-255,000,000","-124,000,000","75,000,000","1,273,000,000",,,,
84,InvestedCapital,"5,436,000,000","5,040,000,000","4,661,000,000","6,885,000,000","6,226,000,000","6,158,000,000","6,308,000,000","6,464,000,000","6,492,000,000","6,247,000,000","6,661,000,000","4,703,000,000","4,326,000,000","7,123,000,000","6,459,000,000","7,075,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
85,TangibleBookValue,"-2,070,000,000","-1,643,000,000","-1,605,000,000","-1,542,000,000","-2,016,000,000","-1,736,000,000","-1,410,000,000","-1,119,000,000","-825,000,000","-378,000,000","705,000,000","251,000,000","-88,000,000","-243,000,000","-178,000,000","1,396,000,000","4,679,000,000","4,283,000,000","3,860,000,000","2,569,000,000"
86,TotalDebt,"6,575,000,000","5,755,000,000","5,238,000,000","6,007,000,000","5,512,000,000","5,208,000,000","5,053,000,000","4,841,000,000","4,562,000,000","4,015,000,000","3,744,000,000","2,015,000,000","1,984,000,000","3,607,000,000","2,900,000,000","2,042,000,000",,,,
87,NetDebt,"5,215,000,000","5,215,000,000","5,017,000,000","5,907,000,000","5,327,000,000","5,037,000,000","4,870,000,000","4,647,000,000","4,367,000,000","3,873,000,000","3,588,000,000","1,860,000,000","1,848,000,000","3,397,000,000","2,631,000,000","1,943,000,000",,,,
88,ShareIssued,"221,755,960","220,863,070","220,120,808","218,796,817","218,198,050","217,534,615","216,862,509","215,578,445","214,812,395","212,286,217","209,943,159","205,891,254","204,604,378","177,217,297","190,417,298","201,200,000","201,200,000","201,200,000","201,200,000","201,200,000"
89,OrdinarySharesNumber,"85,931,284","88,103,194","94,982,951","99,909,376","105,580,938","113,804,047","121,056,433","128,371,983","137,288,400","147,058,084","173,387,917","178,606,431","177,319,555","177,217,297","190,417,298","201,200,000","201,200,000","201,200,000","201,200,000","201,200,000"
90,TreasurySharesNumber,"135,824,676","132,759,876","125,137,857","118,887,441","112,617,112","103,730,568","95,806,076","87,206,462","77,523,995","65,228,133","36,555,242","27,284,823","27,284,823",,,,,,,
0,TotalRevenue,"2,160,000,000","4,043,000,000","3,931,000,000","5,076,000,000","5,599,000,000","5,536,000,000","5,281,000,000","5,009,000,000","4,534,000,000","4,254,000,000","3,851,000,000","3,750,000,000","4,281,000,000","4,360,000,000","3,842,000,000","3,335,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
1,"	OperatingRevenue","2,111,000,000","3,969,000,000","3,871,000,000","4,742,000,000","5,275,000,000","5,224,000,000","4,975,000,000","4,733,000,000","4,332,000,000","4,254,000,000","3,851,000,000","3,750,000,000","4,281,000,000","4,360,000,000","3,842,000,000","3,335,000,000","3,014,000,000","2,652,000,000","2,241,000,000","1,556,000,000"
2,CostOfRevenue,"1,233,000,000","1,940,000,000","1,913,000,000","2,418,000,000","2,732,000,000","2,700,000,000","2,504,000,000","2,394,000,000","2,093,000,000","2,025,000,000","1,876,000,000","1,823,000,000","2,031,000,000","2,118,000,000","1,791,000,000","1,540,000,000",,,,
3,GrossProfit,"927,000,000","2,103,000,000","2,018,000,000","2,658,000,000","2,867,000,000","2,836,000,000","2,777,000,000","2,615,000,000","2,441,000,000","2,229,000,000","1,975,000,000","1,927,000,000","2,250,000,000","2,242,000,000","2,051,000,000","1,795,000,000",,,,
4,OperatingExpense,"853,000,000","1,278,000,000","1,260,000,000","1,634,000,000","1,795,000,000","1,808,000,000","1,790,000,000","1,687,000,000","1,574,000,000","1,399,000,000","1,244,000,000","1,271,000,000","1,575,000,000","1,516,000,000","1,474,000,000","1,175,000,000",,,,
5,"	SellingGeneralAndAdministration","727,000,000","1,157,000,000","1,122,000,000","1,421,000,000","1,543,000,000","1,574,000,000","1,557,000,000","1,471,000,000","1,389,000,000","1,221,000,000","1,071,000,000","1,093,000,000","1,391,000,000","1,350,000,000","1,227,000,000","1,180,000,000",,,,
6,"		GeneralAndAdministrativeExpense","398,000,000","491,000,000","513,000,000","648,000,000","714,000,000","761,000,000","755,000,000","720,000,000","666,000,000","593,000,000","540,000,000","533,000,000","561,000,000",,,,,,,
7,"			OtherGandA","398,000,000","491,000,000","513,000,000","648,000,000","714,000,000","761,000,000","755,000,000","720,000,000","666,000,000","593,000,000","540,000,000","533,000,000","561,000,000",,,,,,,
8,"		SellingAndMarketingExpense","329,000,000","666,000,000","609,000,000","773,000,000","829,000,000","813,000,000","802,000,000","751,000,000","723,000,000","628,000,000","531,000,000","560,000,000","830,000,000",,,,,,,
