name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		TreasuryStock,"10,097,000,000","9,673,000,000","5,742,000,000","4,822,743,000","4,510,655,000","4,054,909,000","3,998,120,000","3,465,675,000","2,952,790,000","2,535,219,000","2,241,191,000","1,739,198,000","1,731,235,000","1,718,833,000","321,155,000","25,464,000",,,,
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,"-17,350,000","-8,803,000","3,379,000","-4,662,000","31,765,000","11,979,000","-1,598,000","33,668,000","-4,027,000",,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,,"31,426,000","14,658,000",,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,,"339,000","-2,679,000",,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,"8,118,961,000","7,558,328,000",,
	MinorityInterest,"1,494,000,000","1,569,000,000","1,547,000,000","1,606,233,000","1,560,802,000","65,373,000","109,462,000","113,521,000","109,129,000","105,303,000","64,159,000","67,045,000","52,937,000","61,935,000","61,756,000","71,774,000","18,435,000","0","592,054,000","315,999,000"
TotalCapitalization,"10,748,000,000","8,156,000,000","7,821,000,000","8,271,389,000","7,291,637,000","8,065,671,000","3,531,054,000","3,394,876,000","3,529,604,000","3,449,145,000","4,317,438,000","3,577,767,000","3,872,942,000","5,903,081,000","6,404,290,000","5,733,763,000","8,152,629,000","7,554,301,000",,"225,890,000"
PreferredStockEquity,"1,022,000,000","15,000,000","30,000,000","22,334,000",,"658,478,000","560,073,000","364,871,000",,,,,,,,,,,,
CommonStockEquity,"1,510,000,000","3,967,000,000","4,104,000,000","4,522,335,000","4,132,301,000","4,864,394,000","1,784,267,000","2,145,464,000","2,280,259,000","2,199,864,000","2,672,544,000","2,682,681,000","2,328,394,000","4,818,081,000","5,904,290,000","5,733,763,000","8,152,629,000","7,554,301,000",,"225,890,000"
CapitalLeaseObligations,"513,000,000","532,000,000",,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-6,363,000,000","-5,964,000,000","-6,008,000,000","-6,015,066,000","-6,256,374,000","-5,922,501,000","-3,461,721,000","-2,629,251,000","-1,556,830,000","-1,421,335,000","-1,767,523,000","-1,744,344,000","-2,043,594,000","-2,159,014,000","-985,776,000","-1,302,470,000","1,083,157,000","580,953,000",,"225,890,000"
WorkingCapital,"228,000,000","-2,979,000,000","-2,863,000,000","-2,339,101,000","-2,676,947,000","-2,947,256,000","-1,262,126,000","-1,075,094,000","-367,809,000","-278,928,000","-187,793,000","-610,008,000","-367,454,000","-728,697,000","-217,440,000","-847,981,000","1,263,678,000","854,838,000",,
InvestedCapital,"9,726,000,000","8,905,000,000","7,821,000,000","8,771,389,000","7,291,637,000","8,065,671,000","3,531,054,000","3,394,876,000","3,529,604,000","3,449,145,000","4,317,438,000","3,577,767,000","3,872,942,000","5,903,081,000","6,404,290,000","5,964,518,000","8,152,629,000","7,554,301,000",,"225,890,000"
TangibleBookValue,"-7,385,000,000","-5,964,000,000","-6,008,000,000","-6,015,066,000","-6,256,374,000","-5,922,501,000","-3,461,721,000","-2,629,251,000","-1,556,830,000","-1,421,335,000","-1,767,523,000","-1,744,344,000","-2,043,594,000","-2,159,014,000","-985,776,000","-1,302,470,000","1,083,157,000","580,953,000",,"225,890,000"
TotalDebt,"8,729,000,000","5,470,000,000","3,717,000,000","4,249,054,000","3,159,336,000","3,201,277,000","1,746,787,000","1,249,412,000","1,249,345,000","1,249,281,000","1,644,894,000","895,086,000","1,544,548,000","1,085,000,000","500,000,000","230,755,000",,,,
NetDebt,"4,853,000,000","1,623,000,000","1,274,000,000","1,402,325,000","1,362,525,000","1,524,978,000","344,087,000","228,379,000",,"560,147,000","930,562,000","252,542,000","879,136,000","467,614,000",,,,,,
ShareIssued,"267,087,000","262,214,999","244,293,000","241,267,000","237,109,000","233,183,000","209,602,000","205,362,000","202,055,000","189,178,000","187,008,000","184,206,000","182,745,423","142,798,949","165,750,523","174,334,549",,,,
OrdinarySharesNumber,"143,597,000","142,598,999","147,134,000","151,739,000","150,032,000","150,259,000","127,067,000","129,686,000","135,330,000","133,581,000","136,973,500","144,764,500","143,669,923","142,798,949","165,750,523","174,334,549",,,,
PreferredSharesNumber,,,,,"1",,,,,,,"1","375",,,,,,,
TreasurySharesNumber,"130,767,000","126,893,000","97,159,000","89,528,000","87,077,000","82,924,000","82,535,000","75,676,000","66,725,000","55,597,000","50,034,500","39,441,500","39,075,500",,,,,,,
