name,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		LongTermDebtAndCapitalLeaseObligation,"3,998,895,000","3,779,499,000","3,877,402,000","3,795,867,000","4,040,229,000","4,188,904,000","4,869,020,000","5,556,251,000","4,634,375,000","4,071,964,000","2,686,484,000","750,946,000","750,789,000","774,182,000","684,469,000","1,129,325,000","503,288,000","541,907,000","589,562,000","550,131,000","650,291,000","730,900,000","460,800,000","138,100,000","239,500,000","129,900,000","126,500,000","127,100,000","41,300,000","71,200,000","59,500,000","20,000,000","21,200,000","6,100,000","27,300,000","27,600,000"
			LongTermDebt,"3,977,926,000","3,779,499,000","3,877,402,000","3,795,867,000","4,040,229,000","4,188,904,000","4,869,020,000","5,556,251,000","4,634,375,000","4,071,964,000","2,686,484,000","750,946,000","750,789,000","774,182,000","684,469,000","1,129,325,000","503,288,000","541,907,000","589,562,000","550,131,000","650,291,000","730,900,000","460,800,000","138,100,000","239,500,000","129,900,000","126,500,000","127,100,000","41,300,000","71,200,000","59,500,000","20,000,000","21,200,000","6,100,000","27,300,000","27,600,000"
			LongTermCapitalLeaseObligation,"20,969,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"9,292,000","68,201,000","91,695,000","164,962,000","2,084,000","92,797,000","120,589,000","225,455,000","226,045,000","242,791,000","258,822,000","300,231,000","265,018,000","240,621,000","219,521,000","227,589,000","206,506,000","213,357,000","206,351,000","202,646,000","149,084,000","70,700,000","56,900,000","63,900,000","50,300,000",,,,,,,,,"4,900,000","11,900,000","47,700,000"
			NonCurrentDeferredTaxesLiabilities,"9,292,000","68,201,000","91,695,000","164,962,000","2,084,000","92,797,000","120,589,000","225,455,000","226,045,000","242,791,000","258,822,000","300,231,000","265,018,000","240,621,000","219,521,000","227,589,000","206,506,000","213,357,000","206,351,000","202,646,000","149,084,000","70,700,000","56,900,000","63,900,000","50,300,000",,,,,,,,,"4,900,000","11,900,000","47,700,000"
		NonCurrentAccruedExpenses,"147,748,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"201,039,000","260,898,000","275,795,000","290,178,000","297,066,000","324,396,000","341,505,000","334,308,000","347,615,000","255,372,000","268,000,000","123,340,000","121,284,000","65,705,000","34,019,000","6,290,000","8,110,000","18,201,000","5,635,000","17,029,000","17,746,000","2,300,000","900,000","1,800,000","300,000","1,400,000","2,900,000","1,100,000","1,600,000","3,800,000","2,700,000","13,600,000","15,700,000","200,000","700,000","700,000"
TotalEquityGrossMinorityInterest,"-311,388,000","3,658,972,000","4,654,574,000","5,950,628,000","6,467,445,000","7,422,230,000","7,287,034,000","9,050,028,000","8,488,290,000","8,097,852,000","7,287,634,000","6,788,432,000","5,286,247,000","4,302,726,000","3,221,645,000","2,723,828,000","2,375,903,000","2,172,145,000","1,983,506,000","1,773,385,000","1,572,982,000","1,395,100,000","1,310,500,000","1,149,100,000","925,800,000","523,700,000","528,200,000","329,200,000","212,100,000","230,600,000","169,700,000","118,700,000","121,700,000","87,300,000","70,900,000","114,800,000"
	StockholdersEquity,"-311,388,000","3,658,972,000","4,253,171,000","5,276,161,000","5,758,681,000","6,699,229,000","6,564,730,000","8,322,583,000","7,723,166,000","7,406,521,000","7,163,003,000","6,788,432,000","5,290,715,000","4,308,322,000","3,228,993,000","2,731,734,000","2,384,434,000","2,178,425,000","1,989,210,000","1,778,319,000","1,576,719,000","1,398,000,000","1,310,500,000","1,149,100,000","925,200,000","523,500,000","527,600,000","329,000,000","211,700,000","230,300,000","169,500,000","118,700,000","121,700,000","87,300,000","70,900,000","114,800,000"
		CapitalStock,"2,511,000","2,492,000","2,468,000","2,450,000","2,432,000","2,420,000","2,475,000","2,534,000","710,130,000","766,595,000","917,684,000","1,130,607,000","26,190,000","26,822,000","13,459,000","13,701,000","13,441,000","13,389,000","13,353,000","13,818,000","13,744,000","13,500,000",,,,"4,000,000","7,000,000","3,000,000","3,000,000",,,"3,300,000",,,,
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,"4,000,000","7,000,000","3,000,000","3,000,000",,,"3,300,000",,,,
			CommonStock,"2,511,000","2,492,000","2,468,000","2,450,000","2,432,000","2,420,000","2,475,000","2,534,000","710,130,000","766,595,000","917,684,000","1,130,607,000","26,190,000","26,822,000","13,459,000","13,701,000","13,441,000","13,389,000","13,353,000","13,818,000","13,744,000","13,500,000",,,,"0","0","0","0",,,"0",,,,
		AdditionalPaidInCapital,"814,796,000","807,093,000","699,409,000","678,922,000","654,168,000","628,483,000","695,638,000","810,286,000","83,531,000","48,356,000","39,006,000","0","402,115,000","683,697,000","789,354,000","1,024,470,000","926,652,000","915,240,000","905,865,000","1,041,017,000","1,019,615,000","960,800,000",,,,,,,,,,,,,,
