name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990
NormalizedIncome,"481,575,673.137","383,350,200","442,757,400","224,836,000","201,391,000","223,807,500","210,500,000","199,188,000","172,693,500","117,187,200","157,005,698.152","224,032,326.821","159,193,355.482","69,700,000","140,408,612.44","174,149,271.959","116,530,044.276","92,130,283.912","97,020,000","88,537,753.223","43,340,000","50,912,295.787","49,600,000","48,640,000","43,280,000","9,620,000","25,100,000","23,900,000","21,000,000","15,100,000","3,020,000","-5,100,000"
InterestIncome,,,,"0","10,000,000","3,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"75,700,000","79,600,000","101,800,000","86,400,000","76,100,000","65,600,000","50,500,000","47,300,000","59,200,000","61,800,000","51,000,000","46,800,000","56,400,000",,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-75,700,000","-94,700,000","-101,800,000","-86,400,000","-66,100,000","-70,500,000","-50,500,000","-58,000,000","-59,200,000","-61,800,000","-52,200,000","-46,800,000","-56,400,000",,,,,,,,,,,,,,,,,,,
EBIT,"714,500,000","590,200,000","683,400,000","202,100,000","391,000,000","458,300,000","294,600,000","303,900,000","313,200,000","243,600,000","245,800,000","384,600,000","267,100,000","98,000,000","279,900,000","261,800,000","200,300,000","263,100,000","258,700,000","249,000,000","199,400,000","174,900,000","163,600,000","113,500,000","102,600,000","48,000,000","66,800,000","59,200,000","44,400,000","42,600,000","37,500,000","30,700,000"
EBITDA,"809,900,000"
ReconciledCostOfRevenue,"2,966,700,000","2,721,400,000","2,080,000,000","1,744,300,000","1,611,300,000","1,783,700,000","1,951,600,000","1,755,700,000","1,834,100,000","1,864,800,000","1,832,700,000","1,992,600,000","2,052,500,000","2,042,200,000","1,867,300,000","1,741,200,000","1,509,200,000","1,221,500,000","1,166,600,000","1,086,200,000","1,053,100,000","1,011,300,000","954,300,000","690,100,000","553,400,000","393,600,000","368,700,000","297,700,000","226,100,000","197,400,000","197,700,000","176,900,000"
ReconciledDepreciation,"95,400,000","94,700,000","89,300,000","83,400,000","80,100,000","73,500,000","69,000,000","64,400,000","66,100,000","62,400,000","61,700,000","59,400,000","60,400,000","70,300,000","67,500,000","67,000,000","67,200,000","57,700,000","52,200,000","43,500,000","63,600,000","66,300,000","60,200,000","37,800,000","30,400,000","29,300,000","25,700,000","22,000,000","18,100,000","15,800,000","10,700,000","10,300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"481,500,000","385,700,000","437,200,000","127,600,000","197,800,000","253,800,000","159,800,000","165,700,000","161,200,000","113,200,000","121,900,000","212,400,000","153,300,000","-10,900,000","113,400,000","132,700,000","100,400,000","100,500,000","103,800,000","101,000,000","15,500,000","73,100,000","69,100,000","37,000,000","39,500,000","-2,500,000","25,100,000","23,900,000","21,000,000","15,100,000","1,700,000","-6,900,000"
TotalUnusualItemsExcludingGoodwill,"-100,000","3,100,000","-7,400,000","-133,200,000","-5,700,000","46,500,000","-78,000,000","-52,000,000","-18,100,000","-6,400,000","-56,100,000","-18,500,000","-8,100,000","-124,000,000","-44,800,000","-66,500,000","-25,400,000","13,200,000","11,300,000","20,100,000","-46,400,000","35,300,000","32,500,000","-19,400,000","-6,300,000","-20,200,000",,,,,"-2,200,000","-3,000,000"
TotalUnusualItems,"-100,000","3,100,000","-7,400,000","-133,200,000","-5,700,000","46,500,000","-78,000,000","-52,000,000","-18,100,000","-6,400,000","-56,100,000","-18,500,000","-8,100,000","-124,000,000","-44,800,000","-66,500,000","-25,400,000","13,200,000","11,300,000","20,100,000","-46,400,000","35,300,000","32,500,000","-19,400,000","-6,300,000","-20,200,000",,,,,"-2,200,000","-3,000,000"
NormalizedEBITDA,"810,000,000","681,800,000","780,100,000","418,700,000","476,800,000","485,300,000","441,600,000","420,300,000","397,400,000","312,400,000","363,600,000","462,500,000","335,600,000","292,300,000","392,200,000","395,300,000","292,900,000","307,600,000","299,600,000","272,400,000","309,400,000","205,900,000","191,300,000","170,700,000","139,300,000","97,500,000","92,500,000","81,200,000","62,500,000","58,400,000","50,400,000","44,000,000"
TaxRateForCalcs,"0.243","0.242","0.249","0.27","0.37","0.355","0.35","0.356","0.365","0.377","0.374","0.371","0.272","0.35","0.397","0.377","0.365","0.366","0.4","0.38","0.4","0.371","0.4","0.4","0.4","0.4","0.383","0.4","0.4","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-24,326.863","750,200","-1,842,600","-35,964,000","-2,109,000","16,507,500","-27,300,000","-18,512,000","-6,606,500","-2,412,800","-20,994,301.848","-6,867,673.179","-2,206,644.518","-43,400,000","-17,791,387.56","-25,050,728.041","-9,269,955.724","4,830,283.912","4,520,000","7,637,753.223","-18,560,000","13,112,295.787","13,000,000","-7,760,000","-2,520,000","-8,080,000","0","0","0","0","-880,000","-1,200,000"
